canonicalName,photo
Hemisteptia lyrata,no
Hyalosperma pusillum,no
Hyalosperma stoveae,no
Iotasperma sessilifolium,no
Ixodia flindersica,no
Lagenophora fimbriata,no
Lagenophora queenslandica,no
Leiocarpa serpens,yes
Leptorhynchos melanocarpus,no
Millotia depauperata,no
Millotia eichleri,no
Millotia falcata,no
Millotia incurva,no
Millotia jacksonii,no
Millotia major,no
Millotia pilosa,yes
Millotia steetziana,no
Minuria annua,no
Minuria gardneri,no
Minuria macrocephala,no
Minuria macrorhiza,no
Minuria scoparia,no
Minuria tridens,no
Myriocephalus biflorus,no
Myriocephalus nudus,no
Myriocephalus pygmaeus,no
Myriocephalus scalpellus,no
Myriocephalus squamatus,no
Notisia intonsa,no
Olearia adenolasia,yes
Olearia aglossa,no
Olearia arckaringensis,no
Olearia arida,no
Olearia bella,no
Olearia burgessii,no
Olearia cassiniae,yes
Olearia cuneifolia,no
Olearia elaeophila,yes
Olearia eremaea,no
Olearia fluvialis,no
Olearia gordonii,no
Olearia hygrophila,no
Olearia mooneyi,no
Olearia mucronata,no
Olearia newbeyi,no
Olearia occidentissima,yes
Olearia oliganthema,no
Olearia orientalis,no
Olearia plucheacea,no
Olearia racemosa,no
Olearia revoluta,no
Olearia strigosa,no
Ozothamnus buchananii,no
Ozothamnus cassiope,no
Ozothamnus filifolius,no
Ozothamnus floribundus,no
Ozothamnus gunnii,no
Ozothamnus scaber,no
Ozothamnus tesselatus,no
Ozothamnus vespertinus,no
Paenula storyi,no
Pentalepis ecliptoides,no
Pentalepis grandis,no
Pentalepis kakaduensis,no
Pentalepis linearifolia,no
Pentalepis walcottii,no
Picris compacta,no
Picris drummondii,no
Picris eichleri,no
Picris wagenitzii,no
Pilbara trudgenii,no
Pithocarpa ramosa,no
Pluchea alata,no
Pluchea baccharoides,no
Pluchea longiseta,no
Pluchea macdonnellensis,no
Pluchea mesotes,no
Pluchea punctata,no
Pluchea tenuis,no
Pluchea xanthina,no
Podolepis gardneri,no
Podolepis laevigata,no
Podolepis nutans,no
Podolepis omissa,yes
Podolepis remota,no
Pterocaulon discolor,no
Pterocaulon globuliflorum,no
Pterocaulon intermedium,yes
Pterocaulon niveum,no
Pterocaulon paradoxum,no
Pterocaulon tricholobum,no
Pterocaulon xenicum,no
Pycnosorus eremaeus,no
Pycnosorus thompsonianus,no
Quinqueremulus linearis,no
Rhodanthe ascendens,no
Rhodanthe collina,no
Rhodanthe cremea,no
Rhodanthe forrestii,no
Rhodanthe frenchii,no
Rhodanthe gossypina,no
Rhodanthe haigii,no
Rhodanthe heterantha,no
Rhodanthe nullarborensis,no
Rhodanthe polakii,no
Rhodanthe psammophila,no
Rhodanthe sphaerocephala,no
Roebuckiella cheilocarpa,no
Roebuckiella chinnockii,no
Roebuckiella cuneata,no
Roebuckiella halophila,no
Roebuckiella lathamensis,no
Roebuckiella nerrenensis,no
Roebuckiella oncocarpa,no
Rutidosis crispata,no
Senecio australis,no
Senecio barkhausioides,no
Senecio condylus,yes
Senecio conferruminatus,no
Senecio daltonii,no
Senecio eremicola,no
Senecio esleri,no
Senecio euclaensis,no
Senecio evansianus,no
Senecio gawlerensis,no
Senecio glabrescens,no
Senecio gypsicola,no
Senecio halophilus,no
Senecio hamersleyensis,no
Senecio helichrysoides,no
Senecio hooglandii,no
Senecio howeanus,no
Senecio laceratus,no
Senecio leucoglossus,no
Senecio longicollaris,no
Senecio longipilus,no
Senecio multicaulis,no
Senecio murrayanus,no
Senecio niveoplanus,no
Senecio oldfieldii,no
Senecio pauciradiatus,no
Senecio pilosicristus,no
Senecio psilophyllus,no
Senecio ramosissimus,no
Senecio scabrellus,no
Senecio serratiformis,no
Senecio tuberculatus,no
Senecio warrenensis,no
Sondottia connata,no
Sondottia glabrata,no
Sphaeromorphaea ephemera,no
Sphaeromorphaea harrisii,no
Sphaeromorphaea subintegra,no
Taplinia saxatilis,no
Tetramolopium vagans,yes
Thespidium basiflorum,no
Thiseltonia gracillima,no
Tietkensia corrickiae,no
Trichanthodium baracchianum,no
Trioncinia patens,no
Trioncinia retroflexa,yes
Vittadinia condyloides,no
Vittadinia decora,no
Vittadinia humerata,no
Vittadinia nullarborensis,no
Vittadinia scabra,yes
Vittadinia sericea,yes
Xerochrysum halmaturorum,no
Isotoma gulliveri,no
Isotoma luticola,no
Lobelia archeri,no
Lobelia cleistogamoides,no
Lobelia fissiflora,no
Lobelia simulans,no
Wahlenbergia aridicola,no
Wahlenbergia caryophylloides,yes
Wahlenbergia celata,no
Wahlenbergia islensis,yes
Wahlenbergia rupicola,no
Wahlenbergia telfordii,yes
Anthotium junciforme,yes
Dampiera eriantha,no
Dampiera fitzgeraldensis,no
Dampiera heteroptera,no
Dampiera krauseana,no
Dampiera orchardii,no
Dampiera plumosa,no
Dampiera scaevolina,no
Goodenia arenicola,no
Goodenia asteriscus,no
Goodenia atriplexifolia,no
Goodenia brunnea,no
Goodenia campestris,no
Goodenia chthonocephala,no
Goodenia corralina,no
Goodenia cravenii,no
Goodenia cylindrocarpa,no
Goodenia durackiana,no
Goodenia effusa,no
Goodenia elderi,yes
Goodenia eremophila,no
Goodenia expansa,no
Goodenia halophila,yes
Goodenia hassallii,yes
Goodenia heatheriana,no
Goodenia heterotricha,no
Goodenia integerrima,no
Goodenia jaurdiensis,no
Goodenia kakadu,no
Goodenia leptoclada,no
Goodenia lobata,no
Goodenia maretensis,no
Goodenia megasepala,no
Goodenia nigrescens,no
Goodenia nocoleche,no
Goodenia ochracea,no
Goodenia oenpelliensis,no
Goodenia pallida,no
Goodenia pascua,no
Goodenia pedicellata,no
Goodenia perryi,no
Goodenia potamica,no
Goodenia pritzelii,no
Goodenia quadrifida,no
Goodenia rupestris,no
Goodenia salina,no
Goodenia salmoniana,no
Goodenia schwerinensis,no
Goodenia splendida,yes
Goodenia subauriculata,no
Goodenia suffrutescens,no
Goodenia valdentata,no
Goodenia virgata,no
Goodenia viridula,no
Goodenia viscidula,no
Lechenaultia aphylla,no
Lechenaultia mimica,no
Lechenaultia ovata,no
Scaevola archeriana,no
Scaevola argentea,no
Scaevola ballajupensis,no
Scaevola collina,no
Scaevola densifolia,no
Scaevola glutinosa,no
Scaevola graminea,no
Scaevola macrophylla,no
Scaevola obovata,no
Scaevola tenuifolia,no
Scaevola xanthina,no
Velleia hispida,no
Liparophyllum capitatum,yes
Liparophyllum congestiflorum,no
Liparophyllum violifolium,yes
Nymphoides astoniae,no
Nymphoides disperma,no
Nymphoides elliptica,yes
Nymphoides simulans,yes
Nymphoides triangularis,yes
Ornduffia submersa,no
Stylidium accedens,no
Stylidium aceratum,no
Stylidium applanatum,no
Stylidium bellum,no
Stylidium bicolor,yes
Stylidium centrolepidoides,no
Stylidium clarksonii,no
Stylidium coatesianum,yes
Stylidium costulatum,no
Stylidium cymiferum,yes
Stylidium daphne,no
Stylidium decipiens,yes
Stylidium diademum,no
Stylidium diceratum,no
Stylidium diffusum,yes
Stylidium dispermum,no
Stylidium divergens,no
Stylidium egralliforme MS,yes
Stylidium exiguum,no
Stylidium ferricola,no
Stylidium fimbriatum,no
Stylidium floribundum,yes
Stylidium foveolatum,no
Stylidium hesperium,yes
Stylidium keigheryi,no
Stylidium korijekup,no
Stylidium lithophilum,no
Stylidium longissimum,no
Stylidium monticola,no
Stylidium mucronatum,no
Stylidium nitidum,no
Stylidium nominatum,no
Stylidium notabile,no
Stylidium nungarinense,no
Stylidium oreophilum,no
Stylidium osculum,yes
Stylidium paniculatum,yes
Stylidium periscelianthum,no
Stylidium perizoster,no
Stylidium perplexum,yes
Stylidium planirosula,no
Stylidium prophyllum,yes
Stylidium pubigerum,yes
Stylidium purpureum,yes
Stylidium rhipidium,no
Stylidium roseonanum,no
Stylidium rosulatum,no
Stylidium scintillans,no
Stylidium semaphorum,yes
Stylidium simulans,no
Stylidium spiciforme,no
Stylidium symonii,no
Stylidium tepperianum,no
Stylidium thryonides,no
Stylidium tinkeri,no
Stylidium trudgenii,no
Stylidium vinosum,yes
Stylidium xanthopis,no
Cordia aspera,no
Ehretia javanica,no
Embadium johnstonii,no
Embadium stagnense,no
Embadium uncinatum,no
Heliotropium aenigmatum,no
Heliotropium aequoreum,no
Heliotropium albrechtii,no
Heliotropium alcyonium,no
Heliotropium amnis-edith,no
Heliotropium apertum,no
Heliotropium arenitense,no
Heliotropium argyreum,no
Heliotropium brachythrix,no
Heliotropium calvariavis,no
Heliotropium chalcedonium,no
Heliotropium consimile,no
Heliotropium cracens,no
Heliotropium delestangii,no
Heliotropium dichotomum,no
Heliotropium discors,no
Heliotropium euodes,no
Heliotropium fasciculatum,no
Heliotropium foliatum,no
Heliotropium foveolatum,no
Heliotropium frohlichii,no
Heliotropium galioides,no
Heliotropium geocharis,no
Heliotropium lapidicola,no
Heliotropium melanopedii,no
Heliotropium microsalsoloides,no
Heliotropium microspermum,no
Heliotropium mitchellii,no
Heliotropium murinum,no
Heliotropium muticum,no
Heliotropium nesopelydum,no
Heliotropium nexosum,no
Heliotropium paniculatum,no
Heliotropium parviantrum,no
Heliotropium peckhamii,no
Heliotropium peninsulare,yes
Heliotropium prostratum,no
Heliotropium protensum,no
Heliotropium ramulipatens,no
Heliotropium rhadinostachyum,no
Heliotropium sphaericum,no
Heliotropium subreniforme,no
Heliotropium synaimon,no
Heliotropium tachyglossoides,no
Heliotropium tanythrix,no
Heliotropium tytoides,no
Heliotropium uniflorum,no
Heliotropium vagum,yes
Heliotropium viator,no
Plagiobothrys australasicus,no
Plagiobothrys elachanthus,no
Plagiobothrys orthostatus,no
Diospyros areolifolia,no
Diospyros hemicycloides,no
Acrotriche dura,no
Acrotriche halmaturina,no
Acrotriche lancifolia,no
Acrotriche parviflora,no
Acrotriche ramiflora,no
Andersonia barbata,no
Andersonia depressa,no
Andersonia ferricola,no
Andersonia geniculata,no
Andersonia longifolia,no
Archeria minor,no
Astroloma chloranthum,no
Astroloma inopinatum,no
Astroloma oblongifolium,no
Astroloma tectum,no
Brachyloma delbi,no
Brachyloma djerral,no
Brachyloma elusum,no
Brachyloma geissoloma,no
Brachyloma pirara,no
Brachyloma stenolobum,no
Coleanthera coelophylla,no
Conostephium laeve,no
Conostephium papillosum,no
Conostephium prolatum,no
Conostephium uncinatum,no
Dielsiodoxa leucantha,yes
Dielsiodoxa lycopodioides,yes
Dielsiodoxa oligarrhenoides,yes
Dielsiodoxa tamariscina,no
Epacris lithophila,no
Epacris pinoidea,no
Leucopogon acicularis,no
Leucopogon altissimus,no
Leucopogon amplectens,no
Leucopogon atherolepis,no
Leucopogon audax,no
Leucopogon blakei,no
Leucopogon borealis,no
Leucopogon bracteolaris,no
Leucopogon brevicuspis,yes
Leucopogon canaliculatus,no
Leucopogon cinereus,no
Leucopogon compactus,no
Leucopogon conchifolius,no
Leucopogon confertus,no
Leucopogon crassiflorus,no
Leucopogon cryptanthus,no
Leucopogon darlingensis,yes
Leucopogon decrescens,no
Leucopogon decussatus,no
Leucopogon diversifolius,no
Leucopogon extremus,no
Leucopogon flexifolius,no
Leucopogon foliosus,yes
Leucopogon gracillimus,yes
Leucopogon grammatus,no
Leucopogon grandiflorus,no
Leucopogon hispidus,no
Leucopogon imbricatus,no
Leucopogon incisus,no
Leucopogon inflexus,no
Leucopogon infuscatus,no
Leucopogon interstans,no
Leucopogon lloydiorum,no
Leucopogon maritimus,no
Leucopogon microcarpus,no
Leucopogon mollis,no
Leucopogon navicularis,no
Leucopogon newbeyi,no
Leucopogon nitidus,no
Leucopogon ozothamnoides,no
Leucopogon paradoxus,no
Leucopogon penicillatus,no
Leucopogon prolatus,no
Leucopogon psammophilus,no
Leucopogon psilopus,no
Leucopogon pubescens,no
Leucopogon remotus,no
Leucopogon rigidus,no
Leucopogon riparius,no
Leucopogon rubricaulis,no
Leucopogon rugulosus,no
Leucopogon rupicola,no
Leucopogon spectabilis,yes
Leucopogon stenophyllus,yes
Leucopogon stokesii,no
Leucopogon subsejunctus,no
Leucopogon tetragonus,no
Leucopogon validus,no
Leucopogon wheelerae,no
Lissanthe brevistyla,no
Lysinema fimbriatum,no
Lysinema lasianthum,no
Monotoca ledifolia,yes
Monotoca oreophila,no
Stenanthera pungens,no
Styphelia ciliosa,yes
Styphelia filamentosa,no
Styphelia filifolia,no
Styphelia longissima,no
Styphelia melaleucoides,no
Ardisia fasciculata,no
Ardisia sanguinolenta,no
Embelia tiwiensis,no
Lysimachia fortunei,no
Lysimachia ovalis,yes
Myrsine elata,no
Myrsine maculata,no
Myrsine mccomishii,no
Myrsine myrtillina,no
Myrsine pedicellata,no
Myrsine platystigma,yes
Myrsine rubiginosa,no
Myrsine serpenticola,no
Samolus caespitosus,no
Planchonella asterocarpon,no
Planchonella costata,no
Planchonella xylocarpa,no
Pleioluma singuliflora,no
Sersalisia unmackiana,no
Symplocos bullata,no
Symplocos hylandii,no
Symplocos oresbia,no
Alyxia evansii,no
Alyxia grandis,yes
Cynanchum brachystelmoides,no
Cynanchum christineae,no
Cynanchum puberulum,no
Dischidia litoralis,no
Heterostemma magnificum,no
Marsdenia brevis,yes
Marsdenia glandulifera,no
Marsdenia graniticola,no
Marsdenia jensenii,no
Marsdenia muelleri,no
Marsdenia paludicola,no
Marsdenia pumila,no
Marsdenia rara,no
Marsdenia suborbicularis,no
Marsdenia tricholepis,no
Marsdenia tubulosa,no
Neisosperma oppositifolium,no
Parsonsia alboflavescens,no
Parsonsia dorrigoensis,no
Parsonsia kimberleyensis,no
Sarcolobus ritae,no
Secamone auriculata,no
Secamone lineata,no
Enicostema axillare,no
Gentiana bredboensis,yes
Gentiana wissmannii,no
Gentianella clelandii,no
Gentianella sylvicola,no
Hoppea dichotoma,no
Schenkia clementii,no
Adelphacme minima,no
Geniostoma huttonii,no
Geniostoma petiolosum,no
Logania archeri,no
Logania diffusa,no
Logania insularis,no
Logania litoralis,no
Logania micrantha,no
Logania perryana,no
Logania scabrella,no
Logania sylvicola,no
Mitrasacme ambigua,no
Mitrasacme brachystemonea,no
Mitrasacme clarksonii,no
Mitrasacme elata,no
Mitrasacme epigaea,no
Mitrasacme floribunda,no
Mitrasacme foliosa,no
Mitrasacme geniculosa,no
Mitrasacme glaucescens,no
Mitrasacme graminea,no
Mitrasacme hispida,no
Mitrasacme inornata,no
Mitrasacme katjarranka,no
Mitrasacme kenneallyi,no
Mitrasacme latiflora,no
Mitrasacme laxiceps,no
Mitrasacme lutea,no
Mitrasacme maritima,no
Mitrasacme micrantha,no
Mitrasacme neldneri,no
Mitrasacme patens,no
Mitrasacme retroloba,no
Mitrasacme scopata,no
Mitrasacme secedens,no
Mitrasacme squamigera,no
Mitrasacme thedae,no
Mitrasacme troglodytica,no
Orianthera biloba,no
Orianthera callosa,no
Orianthera exilis,no
Orianthera wendyae,no
Aidia gyropetala,no
Amaracarpus pubescens,no
Asperula acuminata,no
Asperula polymera,no
Asperula subulifolia,no
Asperula syrticola,no
Asperula tetraphylla,no
Coprosma huttoniana,no
Coprosma inopinata,no
Coprosma lanceolaris,no
Coprosma putida,yes
Dentella arnhemensis MS,no
Dentella browniana,no
Dentella serpyllifolia,no
Durringtonia paludosa,yes
Galium albescens,no
Galium bulliformis,no
Galium microlobum,no
Galium spathulatum,no
Galium terrae-reginae,no
Gardenia ewartii,yes
Gardenia faucicola,no
Gardenia gardneri,no
Gardenia jabiluka,no
Gardenia sericea,no
Gardenia tessellaris,yes
Gynochthodes retropila,no
Hedyotis philippensis,no
Ixora oreogena,no
Knoxia sumatrensis,no
Lasianthus hirsutus,no
Oldenlandia biflora,no
Oldenlandia coerulescens,no
Oldenlandia delicata,no
Oldenlandia gibsonii,yes
Oldenlandia kochiae,no
Oldenlandia leptocaulis,yes
Oldenlandia pinifolia,no
Oldenlandia spathulata,no
Oldenlandia tenuifolia,no
Opercularia hirsuta,no
Opercularia liberiflora,no
Opercularia loganioides,no
Opercularia rubioides,no
Pavetta conferta,no
Pavetta kimberleyana,no
Pavetta platyclada,no
Pavetta rupicola,no
Pavetta speciosa,no
Pavetta tenella,no
Pavetta vaga,no
Psychotria carronis,yes
Psychotria hebecarpa,no
Psychotria interstans,no
Psychotria lorentzii,no
Psydrax forsteri,yes
Psydrax johnsonii,no
Psydrax lepida,no
Psydrax montigena,no
Psydrax pallida,no
Psydrax paludosa,no
Psydrax rigidula,no
Psydrax saligna,yes
Psydrax suaveolens,no
Spermacoce aequabilis,no
Spermacoce aurantiseta,no
Spermacoce baileyana,yes
Spermacoce brevicilia,yes
Spermacoce brevidens,no
Spermacoce buckleyi,no
Spermacoce cardiophora,no
Spermacoce caudata,no
Spermacoce congestanthera,no
Spermacoce debilis,yes
Spermacoce discreta,no
Spermacoce diversistyla,no
Spermacoce erectiloba,no
Spermacoce erythrosepala,yes
Spermacoce everistiana,no
Spermacoce gilliesae,no
Spermacoce graniticola,no
Spermacoce inaperta,no
Spermacoce jacobsonii,no
Spermacoce lamprosperma,no
Spermacoce latimarginata,no
Spermacoce marginata,no
Spermacoce membranacea,no
Spermacoce omissa,no
Spermacoce papuana,no
Spermacoce pessima,no
Spermacoce protrusa,no
Spermacoce redacta,no
Spermacoce resinosula,no
Spermacoce retitesta,no
Spermacoce scabrisina,no
Spermacoce stigmatosa,no
Spermacoce suprahila,no
Spermacoce tectanthera,no
Spermacoce trichosiphonia,no
Spermacoce uniseta,no
Tarenna monticola,yes
Uncaria callophylla,no
Wendlandia psychotrioides,no
Wendlandia urceolata,no
Vincetoxicum leibianum,no
Vincetoxicum rupicola,no
Vincetoxicum williamsii,yes
Asystasia alba,no
Dicladanthera glabra,no
Dicliptera australis,no
Dicliptera maclearii,no
Dicliptera miscella,no
Dicliptera spicata,no
Dipteracanthus bracteatus,no
Dipteracanthus chichesterensis,no
Hypoestes sparsiflora,no
Lepidagathis royenii,no
Xerothamnella herbacea,yes
Byblis guehoi,yes
Byblis pilbarana,yes
Anisomeles ajugacea,no
Anisomeles antrorsa,no
Anisomeles brevipilosa,yes
Anisomeles carpentarica,no
Anisomeles dallachyi,no
Anisomeles eriodes,no
Anisomeles farinacea,no
Anisomeles languida,no
Anisomeles leucotricha,no
Anisomeles ornans,no
Anisomeles papuana,no
Anisomeles principis,no
Anisomeles salviifolia,no
Anisomeles viscidula,no
Anisomeles vulpina,no
Anisomeles xerophila,no
Callicarpa caudata,no
Callicarpa thozetii,no
Clerodendrum indicum,no
Cymaria dichotoma,no
Dasymalla chorisepala,no
Dicrastylis archeri,no
Dicrastylis capitellata,no
Dicrastylis cundeeleensis,no
Dicrastylis kumarinensis,no
Dicrastylis maritima,no
Dicrastylis mitchellii,no
Dicrastylis nicholasii,no
Dicrastylis obovata,no
Dicrastylis reticulata,yes
Dicrastylis subterminalis,no
Dicrastylis velutina,no
Faradaya amicorum,no
Glossocarya coriacea,no
Gmelina australis,no
Gmelina hollrungii,no
Gmelina schlechteri,no
Hemigenia appressa,no
Hemigenia argentea,no
Hemigenia barbata,no
Hemigenia benthamii,no
Hemigenia biddulphiana,no
Hemigenia bracteosa,no
Hemigenia buccinata,no
Hemigenia curvifolia,no
Hemigenia dulcis,no
Hemigenia exilis,no
Hemigenia loganiacea,no
Hemigenia macphersonii,no
Hemigenia obovata,no
Hemigenia obtusa,no
Hemigenia pimeleifolia,no
Hemigenia royceana,no
Hemigenia tenelliflora,no
Hemigenia tichbonii,no
Hemigenia tomentosa,no
Hemigenia wandooana,no
Mentha atrolilacina,no
Microcorys cephalantha,no
Microcorys elliptica,no
Microcorys longiflora,no
Microcorys queenslandica,no
Microcorys wilsoniana,no
Muniria megalophylla,no
Muniria quadrangulata,no
Newcastelia velutina,no
Physopsis chrysotricha,no
Pityrodia byrnesii,no
Pityrodia gilruthiana,no
Pityrodia iphthima,no
Pityrodia puberula,yes
Pityrodia serrata,no
Pityrodia spenceri,yes
Plectranthus acariformis,no
Plectranthus actites,no
Plectranthus amoenus,yes
Plectranthus apricus,no
Plectranthus arenicola,no
Plectranthus batianoffii,no
Plectranthus bellus,yes
Plectranthus bipartitus,no
Plectranthus blakei,yes
Plectranthus cyanophyllus,no
Plectranthus dumicola,no
Plectranthus fasciculatus,no
Plectranthus fragrantissimus,yes
Plectranthus glabriflorus,no
Plectranthus insularis,no
Plectranthus laetus,no
Plectranthus megadontus,no
Plectranthus minutus,no
Plectranthus mirus,yes
Plectranthus omissus,no
Plectranthus pulchellus,no
Plectranthus spectabilis,no
Plectranthus splendens,no
Plectranthus thalassoscopicus,no
Plectranthus ventosus,no
Plectranthus venustus,no
Premna pubescens,no
Premna tomentosa,no
Prostanthera ammophila,no
Prostanthera athertoniana,no
Prostanthera canaliculata,no
Prostanthera collina,no
Prostanthera eungella,no
Prostanthera mulliganensis,no
Prostanthera nanophylla,no
Prostanthera oleoides,no
Prostanthera patens,no
Prostanthera petrophila,no
Prostanthera splendens,no
Prostanthera tozerana,no
Prostanthera tysoniana,no
Prostanthera verticillaris,no
Teucrium betchei,no
Teucrium fallax,no
Teucrium fililobum,no
Teucrium irroratum,no
Teucrium micranthum,no
Teucrium modestum,no
Teucrium pilbaranum,no
Teucrium sagittatum,no
Teucrium thieleanum,no
Vitex velutinifolia,no
Westringia acifolia,no
Westringia capitonis,no
Westringia fitzgeraldensis,no
Westringia parvifolia,no
Utricularia albertiana,no
Utricularia albiflora,no
Utricularia antennifera,yes
Utricularia byrneana,no
Utricularia corneliana,no
Utricularia fenshamii,no
Utricularia helix,no
Utricularia jobsonii,no
Utricularia kenneallyi,no
Utricularia limmenensis,no
Utricularia lowriei,no
Utricularia magna,no
Utricularia papilliscapa,no
Utricularia terrae-reginae,no
Utricularia tridactyla,no
Utricularia wannanii,no
Utricularia westonii,yes
Bonnaya cowiei,no
Buchnera ciliata,no
Lindernia acrandra,no
Lindernia atrata,no
Lindernia barkeri,no
Lindernia chrysoplectra,no
Lindernia cleistandra,no
Lindernia dierythra,no
Lindernia enypniastina,no
Lindernia eremophiloides,no
Lindernia hypandra,no
Lindernia hyssopoides,no
Lindernia lucrusmiana,no
Lindernia macrosiphonia,no
Lindernia murfetiana,no
Lindernia petrensis,no
Lindernia porphyrodinea,no
Lindernia prolata,no
Lindernia pronanthera,no
Lindernia pustulosa,no
Lindernia robyniae,no
Lindernia scopularis,no
Lindernia stantonii,no
Lindernia thyridostoma,no
Lindernia venustula,no
Microcarpaea agonis,no
Torenia polygonoides,no
Yamazakia pusilla,no
Chionanthus quadristamineus,no
Ligustrum glomeratum,no
Notelaea pungens,no
Glossostigma trichodes,no
Mimulus aquatilis,no
Mimulus orbicularis,no
Peplidium foecundum,no
Peplidium maritimum,no
Uvedalia clementii,no
Callitriche umbonata,no
Plantago cladarophylla,no
Plantago exilis,no
Plantago glabrata,no
Plantago hedleyi,yes
Plantago palustris,no
