Species
Abutilon julianae
Conostylis lepidospermoides
Conostylis micrantha
Conostylis misera
Conostylis seorsiflora subsp. trichophylla
Conostylis wonganensis
Coopernookia georgei
Coprosma baueri
Coprosma pilosa
Corchorus cunninghamii
Correa eburnea
Correa lawrenceana var. genoensis
Corunastylis brachystachya
Cossinia australiana
Craspedia preminghana
Crepidium lawleri
Cyathea exilis
Cycas megacarpa
Cycas ophiolitica
Cynanchum elegans
Cyperus cephalotes
Cyphanthera odgersii subsp. occidentalis
Daphnandra johnsonii
Darwinia acerosa
Darwinia apiculata
Darwinia carnea
Darwinia chapmaniana
Darwinia collina
Darwinia ferricola
Darwinia oxylepis
Darwinia polychroma
Darwinia whicherensis
Darwinia wittwerorum
Davidsonia jerseyana
Davidsonia johnsonii
Daviesia bursarioides
Daviesia cunderdin
Daviesia dielsii
Daviesia euphorbioides
Daviesia megacalyx
Daviesia microcarpa
Daviesia obovata
Daviesia pseudaphylla
Daviesia speciosa
Decaspermum struckoilicum
Dendrobium antennatum
Dendrobium brachypus
Dendrobium mirbelianum
Dendrobium nindii
Deyeuxia appressa
Deyeuxia drummondii
Dianella amoena
Dichanthium queenslandicum
Diospyros mabacea
Diplazium pallidum
Diploglottis campbellii
Diplolaena andrewsii
Dipodium campanulatum
Dipodium pictum
Diuris aequalis
Diuris basaltica
Diuris eborensis
Diuris fragrantissima
Diuris lanceolata
Diuris pedunculata
Diuris purdiei
Dodonaea subglandulifera
Drakaea confluens
Drakaea elastica
Drakaea isolata
Drummondita ericoides
Elaeocarpus miegei
Elaeocarpus sedentarius
Elaeocarpus williamsianus
Endiandra cooperana
Endiandra floydii
Epacris apsleyensis
Epacris barbata
Epacris exserta
Epacris glabella
Epacris grandis
Epacris hamiltonii
Epacris virgata
Eremochloa muricata
Eremophila ciliata
Eremophila denticulata subsp. trisulcata
Eremophila glabra subsp. chlorella
Eremophila lactea
Eremophila nivea
Eremophila pinnatifida
Eremophila resinosa
Eremophila scaberula
Eremophila subteretifolia
Eremophila ternifolia
Eremophila verticillata
Eremophila virens
Eremophila viscida
Eriocaulon australasicum
Eriocaulon carsonii
Eryngium fontanum
Eucalyptus absita
Eucalyptus alligatrix subsp. limaensis
Eucalyptus brevipes
Eucalyptus burdettiana
Eucalyptus canobolensis
Eucalyptus conglomerata
Eucalyptus copulans
Eucalyptus crenulata
Eucalyptus crucis subsp. praecipua
Eucalyptus cuprea
Eucalyptus dolorosa
Eucalyptus gunnii subsp. divaricata
Eucalyptus imlayensis
Eucalyptus impensa
Eucalyptus insularis
Eucalyptus largeana
Eucalyptus leprophloia
Eucalyptus macarthurii
Eucalyptus morrisbyi
Eucalyptus pachycalyx subsp. banyabba
Eucalyptus paludicola
Eucalyptus pruiniramis
Eucalyptus recta
Eucalyptus sp. Howes Swamp Creek (M.Doherty 26)
Eucalyptus x balanites
Eucalyptus x phylacis
Euphrasia collina subsp. muelleri
Euphrasia collina subsp. osbornii
Euphrasia semipicta
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.)
Fimbristylis adjuncta
Frankenia conferta
Frankenia parvula
Frankenia plicata
Gardenia actinocarpa
Gastrolobium glaucum
Gastrolobium graniticum
Gastrolobium hamulosum
Gastrolobium humile
Gastrolobium papilio
Gaultheria viridicarpa
Geniostoma huttonii
Genoplesium baueri
Genoplesium plumosum
Genoplesium rhyoliticum
Genoplesium tectum
Gentiana baeuerlenii
Gentiana wingecarribiensis
Gingidia rupicola
Glyceria drummondii
Goodenia arthrotricha
Gossia fragrantissima
Gossia gonoclada
Graptophyllum reticulatum
Grevillea acanthifolia subsp. paludosa
Grevillea acropogon
Grevillea althoferorum
Grevillea batrachioides
Grevillea beadleana
Grevillea calliantha
Grevillea christineae
Grevillea corrugata
Grevillea curviloba subsp. curviloba
Grevillea curviloba subsp. incurva
Grevillea dryandroides subsp. dryandroides
Grevillea dryandroides subsp. hirsuta
Grevillea guthrieana
Grevillea humifusa
Grevillea iaspicula
Grevillea infundibularis
Grevillea involucrata
Grevillea maccutcheonii
Grevillea masonii
Grevillea maxwellii
Grevillea mollis
Grevillea molyneuxii
Grevillea murex
Grevillea obtusiflora
Grevillea pythara
Grevillea rara
Grevillea scapigera
Habenaria maccraithii
Hakea dohertyi
Hakea pulvinifera
Haloragis eyreana
Haloragodendron lucasii
Helicteres macrothrix
Hemiandra gardneri
Hemiandra rutilans
Hibbertia basaltica
Homoranthus decumbens
Hypocalymma angustifolium subsp. Hutt River (S.Patrick 2982)
Hypocalymma sp. Cascade (R. Bruhn 20896)
Hypocalymma sylvestre
Hypolepis distans = Hiya distans
Indigofera efoliata
Irenepharsus trypherus
Isoglossa eranthemoides
Isopogon uncinatus
Jacksonia pungens
Jacksonia quairading
Jacksonia velveta
Kennedia lateritia
Lachnagrostis adamsonii
Lachnagrostis limitanea
Lambertia echinata subsp. echinata
Lambertia echinata subsp. occidentalis
Lambertia fairallii
Lambertia orbifolia
Lasiopetalum pterocarpum
Lasiopetalum rotundifolium
Lastreopsis calantha
Lechenaultia laricina
Leionema equestre
Leionema lachnaeoides
Lepidium hyssopifolium
Lepidium monoplocoides
Lepidium peregrinum
Lepidosperma rostratum
Leucochrysum albicans subsp. tricolor
Leucopogon confertus
Leucopogon gnaphalioides
Leucopogon marginatus
Leucopogon nitidus
Leucopogon obtectus
Leucopogon sp. Coolmunda (D.Halford Q1635)
Livistona mariae subsp. mariae
Lychnothamnus barbatus
Macadamia jansenii
Macarthuria keigheryi
Macrozamia cranei
Macrozamia lomandroides
Macrozamia pauli-guilielmi
Macrozamia platyrhachis
Marattia salicina = Ptisana salicina
Marianthus paralius
Melaleuca sciotostyla
Melaleuca sp. Wanneroo (G.J. Keighery 16705)
Melichrus sp. Gibberagee (Benwell 97239)
Melichrus sp. Newfoundland State Forest (P.Gilmour 7852)
Microcarpaea agonis
Micromyrtus grandis
Microtis angusii
Muehlenbeckia australis
Muehlenbeckia tuggeranong
Myriophyllum lapidicola
Myrsine richmondensis
Ochrosia moorei
Olearia arckaringensis
Olearia flocktoniae
Olearia hygrophila
Olearia microdisca
Ornduffia calthifolia
Pandanus spiralis var. flammeus
Paracaleana dixonii
Parsonsia dorrigoensis
Patersonia spirifolia
Pelargonium sp. Striatellum (G.W.Carr 10345)
Pennantia endlicheri
Persoonia hirsuta
Persoonia micranthera
Persoonia mollis subsp. maxima
Persoonia nutans
Petrophile latericola
Phaius australis
Phaius bernaysii
Phalaenopsis amabilis subsp. rosenstromii = Phalaenopsis rosenstromii
Phebalium distans
Pherosphaera fitzgeraldii
Philotheca basistyla
Philotheca freyciana
Philotheca wonganensis
Phlegmariurus carinatus
Phlegmariurus dalhousieanus
Phlegmariurus filiformis
Phreatia paleata
Pimelea axiflora subsp. pubescens
Pimelea spicata
Pimelea venosa
Pityrodia scabra subsp. scabra
Pityrodia sp. Marble Bar (G.Woodman & D.Coultas GWDC Opp 4)
Planchonella costata
Planchonella eerwah
Plectranthus habrophyllus
Plectranthus nitidus
Plectranthus omissus
Plectranthus torrenticola
Plesioneuron tuberculatum
Polyphlebium endlicherianum
Polystichum moorei
Pomaderris cocoparrana
Pomaderris cotoneaster
Prasophyllum affine
Prasophyllum amoenum
Prasophyllum apoxychilum
Prasophyllum correctum
Prasophyllum crebriflorum
Prasophyllum diversiflorum
Prasophyllum frenchii
Prasophyllum goldsackii
Prasophyllum petilum
Prasophyllum pruinosum
Prasophyllum secutum
Prasophyllum suaveolens
Prasophyllum subbisectum
Prasophyllum tunbridgense
Prostanthera askania
Prostanthera eurybioides
Prostanthera junonis
Pteris kingiana
Pteris zahlbruckneriana
Pterostylis X aenigma
Pterostylis basaltica
Pterostylis despectans
Pterostylis gibbosa
Pterostylis lepida
Pterostylis rubenachii
Pterostylis saxicola
Pterostylis sinuata
Pterostylis sp. Botany Bay (A.Bishop J221/1-13)
Pterostylis sp. Hale (R.Bates 21725)
Pultenaea elusa
Pultenaea trichophylla
Randia moorei
Ranunculus prasinus
Rhizanthella slateri
Ricinocarpos brevis
Ricinocarpos trichophorus
Roycea pycnophylloides
Rutidosis leptorhynchoides
Sagina diemensis
Samadera sp. Moonee Creek (J.King s.n. Nov. 1949)
Sankowskya stipularis
Schoenia filifolia subsp. subulifolia
Sclerolaena napiformis
Senecio behrianus
Senecio evansianus
Solanum dissectum
Solanum graniticum
Solanum johnsonianum
Solanum sulphureum
Sphenotoma drummondii
Spirogardnera rubescens
Sporobolus pamelae
Spyridium furculentum
Spyridium lawrencei
Stonesiella selaginoides
Streblus pendulinus
Stylidium asymmetricum
Stylidium coroniforme subsp. amblyphyllum
Stylidium coroniforme subsp. coroniforme
Stylidium ensatum
Swainsona recta
Symonanthus bancroftii
Synaphea quartzitica
Synaphea sp. Pinjarra Plain (A.S. George 17182)
Synaphea stenoloba
Tarennoidea wallichii
Tectaria devexa
Tetratheca deltoidea
Tetratheca paynterae
Thelymitra dedmaniarum
Thelymitra epipactoides
Thelymitra jonesii
Thelymitra stellata
Thomasia sp. Green Hill (S.Paust 1322)
Toechima pterocarpum
Toechima sp. East Alligator (J.Russell-Smith 8418)
Trachymene scapigera
Triplarina imbricata
Triplarina nowraensis
Trithuria occidentalis
Triunia robusta
Tylophora linearis = Vincetoxicum forsteri
Tylophora rupicola = Vincetoxicum rupicola
Tylophora woollsii = Vincetoxicum woollsii
Typhonium jonesii
Typhonium mirabile
Typhonium taylori
Uromyrtus australis
Vappodes lithocola
Veronica parnkalliana
Verticordia albida
Verticordia densiflora var. pedunculata
Verticordia fimbrilepis subsp. fimbrilepis
Verticordia hughanii
Verticordia pityrhops
Verticordia plumosa var. ananeotes
Verticordia plumosa var. vassensis
Verticordia spicata subsp. squamosa
Verticordia staminosa subsp. staminosa
Verticordia staminosa var. cylindracea
Vrydagzynea grayi
Westringia crassifolia
Westringia kydrensis
Wurmbea calcicola
Wurmbea tubulosa
Xanthorrhoea bracteata
Xanthostemon formosus
Xerothamnella herbacea
Xylopia monosperma
Xylosma parvifolia
Zehneria baueriana
Zieria adenophora
Zieria baeuerlenii
Zieria bifida
Zieria covenyi
Zieria floydii
Zieria formosa
Zieria granulata
Zieria ingramii
Zieria lasiocaulis
Zieria obcordata
Zieria prostrata
Flora that are Vulnerable (586 EPBC species)
"Genus, species (subspecies, population)"
Acacia ammophila
Acacia anomala
Acacia aphylla
Acacia araneosa
Acacia attenuata
Acacia awestoniana
Acacia axillaris
Acacia bynoeana
Acacia caerulescens
Acacia carneorum
Acacia constablei
Acacia courtii
Acacia crombiei
Acacia curranii
Acacia denticulosa
Acacia depressa
Acacia deuteroneura
Acacia eremophiloides
Acacia flocktoniae
Acacia forrestiana
Acacia georgensis
Acacia glandulicarpa
Acacia grandifolia
Acacia handonis
Acacia latzii
Acacia lauta
Acacia macnuttiana
Acacia menzelii
Acacia peuce
Acacia phasmoides
Acacia pickardii
Acacia praemorsa
Acacia praetermissa
Acacia pubescens
Acacia pubifolia
Acacia pycnostachya
Acacia rhetinocarpa
Acacia undoolyana
Acriopsis emarginata
Acrophyllum australe
Actephila foetida
Actinotus schwarzii
Adenanthos ellipticus
Adenanthos pungens subsp. pungens
Allocasuarina fibrosa
Allocasuarina simulans
Allocasuarina tortiramula
Alloxylon flammeum
Almaleea cambagei
Ammobium craspedioides
Amphibromus fluitans
Andersonia pinaster
Androcalva procumbens
Angophora inopina
Angophora robur
Anigozanthos viridis subsp. terraspectans
Anthocercis gracilis
Apatophyllum olsenii
Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631)
Archidendron lovelliae
Argyrotegium nitidulum
Aristida annua
Arthraxon hispidus
Asperula asthenes
Asplenium hookerianum
Asplenium pellucidum
Asplenium wildii = Hymenasplenium wildii
Astelia australiana
Asterolasia nivea
Asterolasia phebalioides
Astrotricha crassifolia
Atriplex infrequens
Austrostipa metatoris
Baloghia marmorata
Baloskion longipes
Banksia catoglypta
Banksia goodii
Banksia serratuloides subsp. serratuloides
Banksia sphaerocarpa var. dolichostyla
Banksia squarrosa subsp. argillacea
Banksia verticillata
Bertya calycina
Bertya ernestiana
Bertya opponens
Bertya pinifolia
Beyeria subtecta
Boronia adamsiana
Boronia deanei
Boronia galbraithiae
Boronia gunnii
Boronia hemichiton
Boronia hippopala
Boronia keysii
Boronia quadrilata
Boronia umbellata
Boronia viridiflora
Bosistoa transversa
Bossiaea oligosperma
Bothriochloa bunyensis
Brachyscome muelleroides
Brachyscome papillosa
Breynia macrantha
Budawangia gnidioides = Epacris gnidioides
Bulbophyllum globuliforme
Bulbophyllum gracillimum
Bulbophyllum longiflorum
Cadellia pentastylis
Caladenia brumalis
Caladenia bryceana subsp. cracens
Caladenia calcicola
Caladenia caudata
Caladenia christineae
Caladenia concolor
Caladenia formosa
Caladenia harringtoniae
Caladenia insularis
Caladenia ornata
Caladenia ovata
Caladenia tessellata
Caladenia versicolor
Caladenia wanosa
Caladenia woolcockiorum
Calectasia pignattiana
Callistemon forresterae
Callistemon kenmorrisonii
Callistemon pungens
Callitris oblonga
Calophyllum bicolor
Calotis glandulosa
Calytrix gurulmundensis
Canarium acutifolium
Capparis thozetiana
Cassinia rugata
Cepobaculum carronii
Chamelaucium sp. Cataby (G.J.Keighery 11009)
Chamelaucium sp. S coastal plain (R.D.Royce 4872)
Cheiranthera volubilis
Clematis fawcettii
Codonocarpus pyramidalis
Colobanthus curtisiae
Comesperma oblongatum
Conospermum hookeri
Conospermum undulatum
Conostylis rogeri
Coopernookia scabridiuscula
Cordyline obtecta
Corokia whiteana
Correa baeuerlenii
Correa calycina
Corybas dentatus
Corybas montanus
Corymbia clandestina
Corymbia leptoloma
Corymbia rhodops
Corymbia xanthope
Corynocarpus rupestris subsp. rupestris
Cryptocarya foetida
Cryptostylis hunteriana
Ctenopterella blechnoides
Cupaniopsis shirleyana
Cupaniopsis tomentella
Cycas cairnsiana
Cycas platyphylla
Cycas silvestris
Cyclophyllum costatum
Cyperus semifertilis
Darwinia biflora
Darwinia masonii
Darwinia meeboldii
Darwinia nubigena
Darwinia squarrosa
Daviesia discolor
Daviesia elongata subsp. elongata
Daviesia laevis
Dendrobium bigibbum
Dendrobium johannis
Denhamia parvifolia
Desmodium acanthocladum
Deyeuxia pungens
Dichanthium setosum
Diplazium cordifolium
Dischidia litoralis
Diuris drummondii
Diuris micrantha
Diuris ochroma
Diuris praecox
Diuris venosa
Dodonaea procumbens
Dodonaea rupicola
Drakaea concolor
Drakaea micrantha
Drosera prolifera
Drosera schizandra
Drummondita longifolia
Dysoxylum bijugum
Eleocharis keigheryi
Eleocharis obicis
Eleocharis papillosa
Eleocharis retroflexa
Endiandra hayesii
Epacris sparsa
Epilobium brunnescens subsp. beaugleholei
Eremophila denticulata subsp. denticulata
Eremophila prostrata
Eremophila vernicosa
Eucalyptus aggregata
Eucalyptus alligatrix subsp. miscella
Eucalyptus aquatica
Eucalyptus argophloia
Eucalyptus argutifolia
Eucalyptus articulata
Eucalyptus beaniana
Eucalyptus beardiana
Eucalyptus benthamii
Eucalyptus cadens
Eucalyptus caleyi subsp. ovendenii
Eucalyptus camfieldii
Eucalyptus ceracea
Eucalyptus coronata
Eucalyptus crispata
Eucalyptus crucis subsp. crucis
Eucalyptus glaucina
Eucalyptus hallii
Eucalyptus infera
Eucalyptus johnsoniana
Eucalyptus kabiana
Eucalyptus kartzoffiana
Eucalyptus langleyi
Eucalyptus lateritica
Eucalyptus mckieana
Eucalyptus merrickiae
Eucalyptus mooreana
Eucalyptus nicholii
Eucalyptus paedoglauca
Eucalyptus parramattensis subsp. decadens
Eucalyptus parvula
Eucalyptus platydisca
Eucalyptus pulverulenta
Eucalyptus pumila
Eucalyptus raveretiana
Eucalyptus rhodantha
Eucalyptus robertsonii subsp. hemisphaerica
Eucalyptus rubida subsp. barbigerorum
Eucalyptus scoparia
Eucalyptus steedmanii
Eucalyptus strzeleckii
Eucalyptus suberea
Eucalyptus synandra
Eucalyptus tetrapleura
Eucalyptus virens
Eucryphia wilkiei
Euphorbia carissoides
Euphorbia obliqua
Euphrasia amphisysepala
Euphrasia bella
Euphrasia bowdeniae
Euphrasia crassiuscula subsp. glandulifera
Euphrasia eichleri
Euphrasia phragmostoma
Floydia praealta
Fontainea australis
Fontainea rostrata
Fontainea venosa
Gardenia psidioides
Gastrolobium appressum
Gastrolobium lehmannii
Gastrolobium modestum
Genoplesium vernale
Gentiana wissmannii
Germainia capitata
Glycine latrobeana
Goodenia integerrima
Goodenia quadrifida
Graptophyllum ilicifolium
Grevillea banyabba
Grevillea bedggoodiana
Grevillea brachystylis subsp. australis
Grevillea celata
Grevillea elongata
Grevillea evansiana
Grevillea flexuosa
Grevillea floripendula
Grevillea glossadenia
Grevillea infecunda
Grevillea kennedyana
Grevillea montis-cole subsp. brevistyla
Grevillea parviflora subsp. parviflora
Grevillea quadricauda
Grevillea raybrownii
Grevillea rhizomatosa
Grevillea shiressii
Grevillea treueriana
Hakea aculeata
Hakea archaeoides
Hakea fraseri
Hakea maconochieana
Hakea megalosperma
Hakea trineura
Haloragis exalata subsp. exalata
Haloragis exalata subsp. velutina
Helichrysum calvertianum
Hensmania chapmanii
Hexaspora pubescens
Hibbertia crispula
Hibbertia humifusa subsp. debilis
Hibbertia humifusa subsp. erigens
Hibbertia marginata
Hibiscus brennanii
Hibiscus cravenii
Hicksbeachia pinnatifolia
Homopholis belsonii
Homoranthus darwinioides
Homoranthus lunatus
Homoranthus montanus
Homoranthus porteri
Homoranthus prolixus
Hoya australis subsp. oramicola
Hydriastele costata
Hypocalymma longifolium
Hypolepis dicksonioides
Ileostylus micranthus
Isopogon fletcheri
Ixodia achillaeoides subsp. arenicola
Kardomia granitica
Kelleria bogongensis
Kennedia glabrata
Kennedia retrorsa
Kunzea cambagei
Kunzea ericifolia subsp. subulata
Kunzea rupestris
Lasiopetalum joyceae
Lasiopetalum longistamineum
Lastreopsis walleri
Lawrencia buchananensis
Lechenaultia chlorantha
Leiocarpa gatesii
Leionema obtusifolium
Leionema ralstonii
Leionema sympetalum
Lepidium aschersonii
Lepidium ginninderrense
Lepidium pseudopapillosum
Leptomeria dielsiana
Leptospermum deanei
Leptospermum thompsonii
Leucopogon exolasius
Leucopogon sp. Ongerup (A.S. George 16682)
Limonium australe var. baudinii
Limosella granitica
Lindsaea pulchella var. blanda
Livistona lanuginosa
Lobelia gelida
Logania diffusa
Logania insularis
Macadamia integrifolia
Macadamia ternifolia
Macadamia tetraphylla
Macropteranthes montana
Macrozamia conferta
Macrozamia macdonnellii
Macrozamia machinii
Macrozamia occidua
Macrozamia parcifolia
Maireana cheelii
Marsdenia brevifolia = Leichhardtia brevifolia
Marsdenia longiloba = Leichhardtia longiloba
Marsdenia paludicola = Leichhardtia paludicola
Medicosma elliptica
Medicosma obovata
Melaleuca biconvexa
Melaleuca deanei
