APC_name,photo
Taeniophyllum explanatum,no
Taeniophyllum hasseltii,no
Taeniophyllum triquetroradix,no
Taeniophyllum walkeri,no
Thelasis capitata,no
Thelymitra abrupta,no
Thelymitra corrugata,no
Thelymitra crenulata,no
Thelymitra frenchii,yes
Thelymitra inflata,no
Thelymitra jonesii,yes
Thelymitra kangaloonica,yes
Thelymitra latifolia,no
Thelymitra odora,no
Thelymitra orientalis,no
Thelymitra pulchella,no
Thelymitra rubricaulis,no
Thelymitra spadicea,yes
Thelymitra sparsa,yes
Thelymitra tubulina,no
Thelymitra viridis,yes
Thelymitra xanthotricha,no
Thrixspermum carinatifolium,no
Thynninorchis nothofagicola,no
Tropidia viridifusca,no
Zeuxine exilis,yes
