species,APC_name,family
Rhodanthe gossypina Paul G.Wilson,Rhodanthe gossypina,Asteraceae
Rutidosis crispata A.E.Holland,Rutidosis crispata,Asteraceae
Senecio daltonii F.Muell.,Senecio daltonii,Asteraceae
Senecio esleri C.J.Webb,Senecio esleri,Asteraceae
Senecio longicollaris I.Thomps.,Senecio longicollaris,Asteraceae
Senecio scabrellus I.Thomps.,Senecio scabrellus,Asteraceae
Senecio tuberculatus Ali,Senecio tuberculatus,Asteraceae
Sphaeromorphaea ephemera A.R.Bean,Sphaeromorphaea ephemera,Asteraceae
Sphaeromorphaea harrisii (F.Muell.) A.R.Bean,Sphaeromorphaea harrisii,Asteraceae
Sphaeromorphaea subintegra A.R.Bean,Sphaeromorphaea subintegra,Asteraceae
Thespidium basiflorum (F.Muell.) F.Muell. ex Benth.,Thespidium basiflorum,Asteraceae
Trioncinia patens A.E.Holland & D.W.Butler,Trioncinia patens,Asteraceae
Vittadinia decora N.T.Burb.,Vittadinia decora,Asteraceae
Isotoma gulliveri F.Muell.,Isotoma gulliveri,Campanulaceae
Wahlenbergia celata P.I.Forst.,Wahlenbergia celata,Campanulaceae
Goodenia arenicola Carolin,Goodenia arenicola,Goodeniaceae
Goodenia atriplexifolia A.E.Holland & T.P.Boyle,Goodenia atriplexifolia,Goodeniaceae
Goodenia effusa A.E.Holland,Goodenia effusa,Goodeniaceae
Goodenia expansa A.E.Holland & T.P.Boyle,Goodenia expansa,Goodeniaceae
Goodenia megasepala Carolin,Goodenia megasepala,Goodeniaceae
Goodenia nigrescens Carolin,Goodenia nigrescens,Goodeniaceae
Goodenia subauriculata C.T.White,Goodenia subauriculata,Goodeniaceae
Goodenia viridula Carolin,Goodenia viridula,Goodeniaceae
Goodenia viscidula Carolin,Goodenia viscidula,Goodeniaceae
Scaevola glutinosa Carolin,Scaevola glutinosa,Goodeniaceae
Stylidium centrolepidoides A.R.Bean,Stylidium centrolepidoides,Stylidiaceae
Stylidium clarksonii Lowrie & Kenneally,Stylidium clarksonii,Stylidiaceae
Stylidium foveolatum A.R.Bean,Stylidium foveolatum,Stylidiaceae
Stylidium longissimum A.R.Bean,Stylidium longissimum,Stylidiaceae
Cordia aspera G.Forst.,Cordia aspera,Boraginaceae
Heliotropium aequoreum Craven,Heliotropium aequoreum,Boraginaceae
Heliotropium chalcedonium Craven,Heliotropium chalcedonium,Boraginaceae
Heliotropium consimile Craven,Heliotropium consimile,Boraginaceae
Heliotropium delestangii Craven,Heliotropium delestangii,Boraginaceae
Heliotropium fasciculatum R.Br.,Heliotropium fasciculatum,Boraginaceae
Heliotropium frohlichii Craven,Heliotropium frohlichii,Boraginaceae
Heliotropium geocharis Domin,Heliotropium geocharis,Boraginaceae
Heliotropium lapidicola Craven,Heliotropium lapidicola,Boraginaceae
Heliotropium melanopedii Craven,Heliotropium melanopedii,Boraginaceae
Heliotropium microspermum E.J.Thomps.,Heliotropium microspermum,Boraginaceae
Heliotropium paniculatum R.Br.,Heliotropium paniculatum,Boraginaceae
Heliotropium prostratum R.Br.,Heliotropium prostratum,Boraginaceae
Heliotropium ramulipatens Craven,Heliotropium ramulipatens,Boraginaceae
Heliotropium rhadinostachyum Craven,Heliotropium rhadinostachyum,Boraginaceae
Heliotropium tanythrix Craven,Heliotropium tanythrix,Boraginaceae
Heliotropium tytoides Craven,Heliotropium tytoides,Boraginaceae
Plagiobothrys elachanthus (F.Muell.) I.M.Johnst.,Plagiobothrys elachanthus,Boraginaceae
Diospyros areolifolia Kosterm.,Diospyros areolifolia,Ebenaceae
Diospyros hemicycloides (F.Muell. ex Benth.) Jessup,Diospyros hemicycloides,Ebenaceae
Leucopogon blakei Pedley,Leucopogon blakei,Ericaceae
Leucopogon flexifolius R.Br.,Leucopogon flexifolius,Ericaceae
Leucopogon grandiflorus Pedley,Leucopogon grandiflorus,Ericaceae
Leucopogon imbricatus R.Br.,Leucopogon imbricatus,Ericaceae
Leucopogon rupicola C.T.White,Leucopogon rupicola,Ericaceae
Lissanthe brevistyla A.R.Bean,Lissanthe brevistyla,Ericaceae
Ardisia fasciculata C.T.White,Ardisia fasciculata,Primulaceae
Myrsine elata Jackes,Myrsine elata,Primulaceae
Myrsine maculata Jackes,Myrsine maculata,Primulaceae
Myrsine rubiginosa Jackes,Myrsine rubiginosa,Primulaceae
Myrsine serpenticola Jackes,Myrsine serpenticola,Primulaceae
"Planchonella asterocarpon (P.Royen) Swenson, Bartish & Munzinger",Planchonella asterocarpon,Sapotaceae
"Planchonella xylocarpa (C.T.White) Swenson, Bartish & Munzinger",Planchonella xylocarpa,Sapotaceae
Pleioluma singuliflora (C.T.White & W.D.Francis) Swenson,Pleioluma singuliflora,Sapotaceae
Sersalisia unmackiana (F.M.Bailey) Domin,Sersalisia unmackiana,Sapotaceae
Symplocos bullata Jessup,Symplocos bullata,Symplocaceae
Symplocos hylandii Noot.,Symplocos hylandii,Symplocaceae
Symplocos oresbia Jessup,Symplocos oresbia,Symplocaceae
Cynanchum brachystelmoides P.I.Forst.,Cynanchum brachystelmoides,Apocynaceae
Dischidia litoralis Schltr.,Dischidia litoralis,Apocynaceae
Marsdenia glandulifera C.T.White,Marsdenia glandulifera,Apocynaceae
Marsdenia jensenii P.I.Forst.,Marsdenia jensenii,Apocynaceae
Marsdenia muelleri (Benth.) P.I.Forst.,Marsdenia muelleri,Apocynaceae
Marsdenia paludicola P.I.Forst.,Marsdenia paludicola,Apocynaceae
Marsdenia pumila P.I.Forst.,Marsdenia pumila,Apocynaceae
Marsdenia rara P.I.Forst.,Marsdenia rara,Apocynaceae
Marsdenia suborbicularis (K.Schum.) P.I.Forst.,Marsdenia suborbicularis,Apocynaceae
Marsdenia tricholepis (Schltr.) P.I.Forst.,Marsdenia tricholepis,Apocynaceae
Secamone auriculata Blume,Secamone auriculata,Apocynaceae
Secamone lineata Blume,Secamone lineata,Apocynaceae
Logania diffusa R.J.F.Hend.,Logania diffusa,Loganiaceae
Mitrasacme ambigua R.Br.,Mitrasacme ambigua,Loganiaceae
Mitrasacme brachystemonea Domin,Mitrasacme brachystemonea,Loganiaceae
Mitrasacme clarksonii Dunlop,Mitrasacme clarksonii,Loganiaceae
Mitrasacme inornata Dunlop,Mitrasacme inornata,Loganiaceae
Mitrasacme maritima Dunlop,Mitrasacme maritima,Loganiaceae
Mitrasacme micrantha Domin,Mitrasacme micrantha,Loganiaceae
Mitrasacme neldneri Dunlop,Mitrasacme neldneri,Loganiaceae
Mitrasacme patens Dunlop,Mitrasacme patens,Loganiaceae
Mitrasacme squamigera Dunlop,Mitrasacme squamigera,Loganiaceae
Aidia gyropetala A.J.Ford & Halford,Aidia gyropetala,Rubiaceae
Asperula subulifolia Airy Shaw & Turrill,Asperula subulifolia,Rubiaceae
Dentella browniana Domin,Dentella browniana,Rubiaceae
Dentella serpyllifolia Wall. ex Airy Shaw,Dentella serpyllifolia,Rubiaceae
Galium spathulatum I.Thomps.,Galium spathulatum,Rubiaceae
Galium terrae-reginae Ehrend. & McGill.,Galium terrae-reginae,Rubiaceae
Gynochthodes retropila (Halford & A.J.Ford) Razafim. & B.Bremer,Gynochthodes retropila,Rubiaceae
Hedyotis philippensis (Spreng.) Merr. ex C.B.Rob.,Hedyotis philippensis,Rubiaceae
Ixora oreogena S.T.Reynolds & P.I.Forst.,Ixora oreogena,Rubiaceae
Knoxia sumatrensis (Retz.) DC.,Knoxia sumatrensis,Rubiaceae
Lasianthus hirsutus (Roxb.) Merr.,Lasianthus hirsutus,Rubiaceae
Oldenlandia biflora L.,Oldenlandia biflora,Rubiaceae
Oldenlandia coerulescens (F.Muell.) F.Muell.,Oldenlandia coerulescens,Rubiaceae
Oldenlandia spathulata Halford,Oldenlandia spathulata,Rubiaceae
Oldenlandia tenuifolia Burm.f.,Oldenlandia tenuifolia,Rubiaceae
Pavetta platyclada K.Schum. & Lauterb.,Pavetta platyclada,Rubiaceae
Pavetta rupicola S.T.Reynolds,Pavetta rupicola,Rubiaceae
Psychotria hebecarpa Merr. & L.M.Perry,Psychotria hebecarpa,Rubiaceae
Psychotria interstans Domin,Psychotria interstans,Rubiaceae
Psychotria lorentzii Valeton,Psychotria lorentzii,Rubiaceae
Psydrax johnsonii S.T.Reynolds & R.J.F.Hend.,Psydrax johnsonii,Rubiaceae
Psydrax lepida S.T.Reynolds & R.J.F.Hend.,Psydrax lepida,Rubiaceae
Psydrax montigena S.T.Reynolds & R.J.F.Hend.,Psydrax montigena,Rubiaceae
Psydrax pallida S.T.Reynolds & R.J.F.Hend.,Psydrax pallida,Rubiaceae
Psydrax paludosa S.T.Reynolds & R.J.F.Hend.,Psydrax paludosa,Rubiaceae
Spermacoce buckleyi Fosberg,Spermacoce buckleyi,Rubiaceae
Spermacoce everistiana Fosberg,Spermacoce everistiana,Rubiaceae
Spermacoce jacobsonii F.M.Bailey,Spermacoce jacobsonii,Rubiaceae
Spermacoce latimarginata Harwood,Spermacoce latimarginata,Rubiaceae
Spermacoce marginata Benth.,Spermacoce marginata,Rubiaceae
Spermacoce omissa J.R.Clarkson,Spermacoce omissa,Rubiaceae
Spermacoce papuana F.Muell.,Spermacoce papuana,Rubiaceae
Spermacoce uniseta F.M.Bailey,Spermacoce uniseta,Rubiaceae
Uncaria callophylla Blume ex Korth.,Uncaria callophylla,Rubiaceae
Wendlandia psychotrioides (F.Muell.) F.Muell.,Wendlandia psychotrioides,Rubiaceae
Wendlandia urceolata C.T.White,Wendlandia urceolata,Rubiaceae
Vincetoxicum cinerascens (R.Br.) Meve & Liede,Vincetoxicum cinerascens,Apocynaceae
Vincetoxicum rupicola (P.I.Forst.) Meve & Liede,Vincetoxicum rupicola,Apocynaceae
Dicliptera spicata Decne.,Dicliptera spicata,Acanthaceae
Dipteracanthus bracteatus (R.Br.) Nees,Dipteracanthus bracteatus,Acanthaceae
Lepidagathis royenii Bremek.,Lepidagathis royenii,Acanthaceae
Anisomeles ajugacea (F.M.Bailey & F.Muell.) A.R.Bean,Anisomeles ajugacea,Lamiaceae
Anisomeles antrorsa A.R.Bean,Anisomeles antrorsa,Lamiaceae
Anisomeles carpentarica A.R.Bean,Anisomeles carpentarica,Lamiaceae
Anisomeles dallachyi A.R.Bean,Anisomeles dallachyi,Lamiaceae
Anisomeles eriodes A.R.Bean,Anisomeles eriodes,Lamiaceae
Anisomeles languida A.R.Bean,Anisomeles languida,Lamiaceae
Anisomeles ornans A.R.Bean,Anisomeles ornans,Lamiaceae
Anisomeles papuana A.R.Bean,Anisomeles papuana,Lamiaceae
Anisomeles vulpina A.R.Bean,Anisomeles vulpina,Lamiaceae
Anisomeles xerophila A.R.Bean,Anisomeles xerophila,Lamiaceae
Callicarpa caudata Maxim.,Callicarpa caudata,Lamiaceae
Callicarpa thozetii Munir,Callicarpa thozetii,Lamiaceae
Faradaya amicorum (Seem.) Seem.,Faradaya amicorum,Lamiaceae
Glossocarya coriacea Munir,Glossocarya coriacea,Lamiaceae
Hemigenia biddulphiana F.Muell.,Hemigenia biddulphiana,Lamiaceae
Microcorys queenslandica C.T.White,Microcorys queenslandica,Lamiaceae
Newcastelia velutina Munir,Newcastelia velutina,Lamiaceae
Plectranthus acariformis P.I.Forst.,Plectranthus acariformis,Lamiaceae
Plectranthus actites P.I.Forst.,Plectranthus actites,Lamiaceae
Plectranthus apricus P.I.Forst.,Plectranthus apricus,Lamiaceae
Plectranthus arenicola P.I.Forst.,Plectranthus arenicola,Lamiaceae
Plectranthus batianoffii P.I.Forst.,Plectranthus batianoffii,Lamiaceae
Plectranthus bipartitus P.I.Forst.,Plectranthus bipartitus,Lamiaceae
Plectranthus cyanophyllus P.I.Forst.,Plectranthus cyanophyllus,Lamiaceae
Plectranthus dumicola P.I.Forst.,Plectranthus dumicola,Lamiaceae
Plectranthus fasciculatus P.I.Forst.,Plectranthus fasciculatus,Lamiaceae
Plectranthus glabriflorus P.I.Forst.,Plectranthus glabriflorus,Lamiaceae
Plectranthus insularis P.I.Forst.,Plectranthus insularis,Lamiaceae
Plectranthus laetus P.I.Forst.,Plectranthus laetus,Lamiaceae
Plectranthus megadontus P.I.Forst.,Plectranthus megadontus,Lamiaceae
Plectranthus minutus P.I.Forst.,Plectranthus minutus,Lamiaceae
Plectranthus omissus P.I.Forst.,Plectranthus omissus,Lamiaceae
Plectranthus pulchellus P.I.Forst.,Plectranthus pulchellus,Lamiaceae
Plectranthus spectabilis S.T.Blake,Plectranthus spectabilis,Lamiaceae
Plectranthus splendens P.I.Forst.,Plectranthus splendens,Lamiaceae
Plectranthus thalassoscopicus P.I.Forst.,Plectranthus thalassoscopicus,Lamiaceae
Plectranthus ventosus P.I.Forst.,Plectranthus ventosus,Lamiaceae
Plectranthus venustus P.I.Forst.,Plectranthus venustus,Lamiaceae
Premna tomentosa Willd.,Premna tomentosa,Lamiaceae
Prostanthera athertoniana B.J.Conn & T.C.Wilson,Prostanthera athertoniana,Lamiaceae
Prostanthera collina Domin,Prostanthera collina,Lamiaceae
Prostanthera eungella B.J.Conn & K.M.Proft,Prostanthera eungella,Lamiaceae
Prostanthera mulliganensis B.J.Conn & T.C.Wilson,Prostanthera mulliganensis,Lamiaceae
Prostanthera oleoides T.C.Wilson & B.J.Conn,Prostanthera oleoides,Lamiaceae
Prostanthera tozerana B.J.Conn & T.C.Wilson,Prostanthera tozerana,Lamiaceae
Teucrium betchei (F.Muell.) Kattari & Salmaki,Teucrium betchei,Lamiaceae
Teucrium fallax A.R.Bean,Teucrium fallax,Lamiaceae
Teucrium irroratum A.R.Bean,Teucrium irroratum,Lamiaceae
Teucrium micranthum B.J.Conn,Teucrium micranthum,Lamiaceae
Teucrium modestum A.R.Bean,Teucrium modestum,Lamiaceae
Teucrium sagittatum A.R.Bean,Teucrium sagittatum,Lamiaceae
Westringia parvifolia C.T.White & W.D.Francis,Westringia parvifolia,Lamiaceae
Utricularia albiflora R.Br.,Utricularia albiflora,Lentibulariaceae
Utricularia corneliana R.W.Jobson,Utricularia corneliana,Lentibulariaceae
Utricularia fenshamii R.W.Jobson,Utricularia fenshamii,Lentibulariaceae
Utricularia jobsonii Lowrie,Utricularia jobsonii,Lentibulariaceae
Utricularia lowriei R.W.Jobson,Utricularia lowriei,Lentibulariaceae
Utricularia terrae-reginae P.Taylor,Utricularia terrae-reginae,Lentibulariaceae
Buchnera ciliata Pennell,Buchnera ciliata,Linderniaceae
Lindernia hyssopoides (L.) Haines,Lindernia hyssopoides,Linderniaceae
Lindernia prolata W.R.Barker,Lindernia prolata,Linderniaceae
Lindernia stantonii Wannan,Lindernia stantonii,Linderniaceae
Microcarpaea agonis A.R.Bean,Microcarpaea agonis,Linderniaceae
Torenia polygonoides Benth.,Torenia polygonoides,Linderniaceae
"Yamazakia pusilla (Willd.) W.R.Barker, Y.S.Liang & Wannan",Yamazakia pusilla,Linderniaceae
Notelaea pungens Guymer,Notelaea pungens,Oleaceae
Mimulus aquatilis A.R.Bean,Mimulus aquatilis,Phrymaceae
Mimulus orbicularis Wall. ex Benth.,Mimulus orbicularis,Phrymaceae
Peplidium foecundum W.R.Barker,Peplidium foecundum,Phrymaceae
Peplidium maritimum (L.f.) Asch.,Peplidium maritimum,Phrymaceae
Stemodia anisata A.R.Bean,Stemodia anisata,Plantaginaceae
Eremophila arbuscula Chinnock,Eremophila arbuscula,Scrophulariaceae
Eremophila hispida Chinnock,Eremophila hispida,Scrophulariaceae
Eremophila woodiae Edginton,Eremophila woodiae,Scrophulariaceae
Bonamia longipilosa R.W.Johnson,Bonamia longipilosa,Convolvulaceae
Bonamia multiflora R.W.Johnson,Bonamia multiflora,Convolvulaceae
Bonamia toniae R.W.Johnson,Bonamia toniae,Convolvulaceae
Camonea pilosa (Houtt.) A.R.Simões & Staples,Camonea pilosa,Convolvulaceae
Convolvulus eyreanus R.W.Johnson,Convolvulus eyreanus,Convolvulaceae
Ipomoea antonschmidii R.W.Johnson,Ipomoea antonschmidii,Convolvulaceae
Ipomoea densivestita R.W.Johnson,Ipomoea densivestita,Convolvulaceae
Ipomoea hastifolia Domin,Ipomoea hastifolia,Convolvulaceae
Ipomoea imperati (Vahl) Griseb.,Ipomoea imperati,Convolvulaceae
Ipomoea limosa R.W.Johnson,Ipomoea limosa,Convolvulaceae
Ipomoea tiliacea (Willd.) Choisy,Ipomoea tiliacea,Convolvulaceae
Polymeria quadrivalvis R.Br.,Polymeria quadrivalvis,Convolvulaceae
Polymeria subhirsuta Domin,Polymeria subhirsuta,Convolvulaceae
Solanum adoxum A.R.Bean,Solanum adoxum,Solanaceae
Solanum argopetalum A.R.Bean,Solanum argopetalum,Solanaceae
Solanum capitaneum A.R.Bean,Solanum capitaneum,Solanaceae
Solanum chillagoense (Domin) A.R.Bean,Solanum chillagoense,Solanaceae
Solanum crebrispinum A.R.Bean,Solanum crebrispinum,Solanaceae
Solanum dimorphispinum C.T.White,Solanum dimorphispinum,Solanaceae
Solanum dryanderense A.R.Bean,Solanum dryanderense,Solanaceae
Solanum dumicola A.R.Bean,Solanum dumicola,Solanaceae
Solanum dunalianum Gaudich.,Solanum dunalianum,Solanaceae
Solanum dysprosium A.R.Bean,Solanum dysprosium,Solanaceae
Solanum eminens A.R.Bean,Solanum eminens,Solanaceae
Solanum fecundum A.R.Bean,Solanum fecundum,Solanaceae
Solanum ferox L.,Solanum ferox,Solanaceae
Solanum fervens A.R.Bean,Solanum fervens,Solanaceae
Solanum francisii A.R.Bean,Solanum francisii,Solanaceae
Solanum graniticum A.R.Bean,Solanum graniticum,Solanaceae
Solanum latens A.R.Bean,Solanum latens,Solanaceae
Solanum lythrocarpum A.R.Bean,Solanum lythrocarpum,Solanaceae
Solanum orgadophilum A.R.Bean,Solanum orgadophilum,Solanaceae
Solanum pisinnum A.R.Bean,Solanum pisinnum,Solanaceae
Solanum prolatum A.R.Bean,Solanum prolatum,Solanaceae
Solanum pusillum A.R.Bean,Solanum pusillum,Solanaceae
Solanum senticosum A.R.Bean,Solanum senticosum,Solanaceae
Solanum ultimum A.R.Bean,Solanum ultimum,Solanaceae
Solanum unispinum A.R.Bean,Solanum unispinum,Solanaceae
Solanum versicolor A.R.Bean,Solanum versicolor,Solanaceae
Trianthema compactum C.T.White,Trianthema compactum,Aizoaceae
Achyranthes bidentata Blume,Achyranthes bidentata,Amaranthaceae
Gomphrena arida J.Palmer,Gomphrena arida,Amaranthaceae
Gomphrena conferta Benth.,Gomphrena conferta,Amaranthaceae
Gomphrena leontopodioides Domin,Gomphrena leontopodioides,Amaranthaceae
Gomphrena leptophylla (Benth.) J.Palmer,Gomphrena leptophylla,Amaranthaceae
Kelita uncinella A.R.Bean,Kelita uncinella,Amaranthaceae
Nyssanthes longistyla C.H.Mill.,Nyssanthes longistyla,Amaranthaceae
Omegandra kanisii G.J.Leach & C.C.Towns.,Omegandra kanisii,Amaranthaceae
Ptilotus brachyanthus (F.Muell. ex Benth.) F.Muell.,Ptilotus brachyanthus,Amaranthaceae
Ptilotus extenuatus Benl,Ptilotus extenuatus,Amaranthaceae
Polycarpaea arida Pedley,Polycarpaea arida,Caryophyllaceae
Atriplex alces Edginton & E.J.Thomps.,Atriplex alces,Chenopodiaceae
Atriplex cornigera Domin,Atriplex cornigera,Chenopodiaceae
Atriplex humilis F.Muell.,Atriplex humilis,Chenopodiaceae
Atriplex intermedia R.H.Anderson,Atriplex intermedia,Chenopodiaceae
Atriplex macropterocarpa (Aellen) H.Eichler,Atriplex macropterocarpa,Chenopodiaceae
Atriplex morrisii R.H.Anderson,Atriplex morrisii,Chenopodiaceae
Atriplex nessorhina S.W.L.Jacobs,Atriplex nessorhina,Chenopodiaceae
Chenopodium auricomiforme Murr & Thell.,Chenopodium auricomiforme,Chenopodiaceae
Chenopodium hubbardii Aellen,Chenopodium hubbardii,Chenopodiaceae
Dissocarpus latifolius (J.M.Black) Paul G.Wilson,Dissocarpus latifolius,Chenopodiaceae
Maireana dichoptera (F.Muell.) Paul G.Wilson,Maireana dichoptera,Chenopodiaceae
Maireana microcarpa (Benth.) Paul G.Wilson,Maireana microcarpa,Chenopodiaceae
Malacocera albolanata (Ising) Chinnock,Malacocera albolanata,Chenopodiaceae
Osteocarpum pentapterum (F.Muell. & Tate) Volkens,Osteocarpum pentapterum,Chenopodiaceae
Sclerolaena blackiana (Ising) A.J.Scott,Sclerolaena blackiana,Chenopodiaceae
Sclerolaena blakei (Ising) A.J.Scott,Sclerolaena blakei,Chenopodiaceae
Sclerolaena holtiana (Ising) A.J.Scott,Sclerolaena holtiana,Chenopodiaceae
Sclerolaena ramulosa (C.T.White) A.J.Scott,Sclerolaena ramulosa,Chenopodiaceae
Sclerolaena tubata (R.H.Anderson) A.J.Scott,Sclerolaena tubata,Chenopodiaceae
Sclerolaena walkeri (C.T.White) A.J.Scott,Sclerolaena walkeri,Chenopodiaceae
Tecticornia cupuliformis (Paul G.Wilson) K.A.Sheph. & Paul G.Wilson,Tecticornia cupuliformis,Chenopodiaceae
Tecticornia medullosa (Paul G.Wilson) K.A.Sheph. & Paul G.Wilson,Tecticornia medullosa,Chenopodiaceae
Frankenia adpressa Summerh.,Frankenia adpressa,Frankeniaceae
Frankenia annua Summerh.,Frankenia annua,Frankeniaceae
Frankenia latior Sprague & Summerh.,Frankenia latior,Frankeniaceae
Frankenia orthotricha (J.M.Black) J.M.Black,Frankenia orthotricha,Frankeniaceae
Frankenia pseudoflabellata Summerh.,Frankenia pseudoflabellata,Frankeniaceae
Frankenia scabra Lindl.,Frankenia scabra,Frankeniaceae
Macarthuria complanata E.M.Ross,Macarthuria complanata,Limeaceae
Glinus sessiliflorus P.S.Short,Glinus sessiliflorus,Molluginaceae
Boerhavia schomburgkiana Oliv.,Boerhavia schomburgkiana,Nyctaginaceae
Commicarpus insularum Meikle,Commicarpus insularum,Nyctaginaceae
Muehlenbeckia triloba Danser,Muehlenbeckia triloba,Polygonaceae
Portulaca tuberosa Roxb.,Portulaca tuberosa,Portulacaceae
Sedopsis armitii (F.Muell.) Poelln.,Sedopsis armitii,Portulacaceae
Ceratophyllum muricatum Cham.,Ceratophyllum muricatum,Ceratophyllaceae
Beilschmiedia brunnea B.Hyland,Beilschmiedia brunnea,Lauraceae
Beilschmiedia castrisinensis B.Hyland,Beilschmiedia castrisinensis,Lauraceae
Cryptocarya brassii C.K.Allen,Cryptocarya brassii,Lauraceae
Cryptocarya clarksoniana B.Hyland,Cryptocarya clarksoniana,Lauraceae
Cryptocarya cocosoides B.Hyland,Cryptocarya cocosoides,Lauraceae
Cryptocarya endiandrifolia Kosterm.,Cryptocarya endiandrifolia,Lauraceae
Cryptocarya glaucocarpa B.Hyland,Cryptocarya glaucocarpa,Lauraceae
Cryptocarya lividula B.Hyland,Cryptocarya lividula,Lauraceae
Cryptocarya putida B.Hyland,Cryptocarya putida,Lauraceae
