species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,family
Astrotricha brachyandra A.R.Bean,Astrotricha brachyandra,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Astrotricha obovata Makinson,Astrotricha obovata,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Astrotricha pauciflora A.R.Bean,Astrotricha pauciflora,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle comocarpa F.Muell.,Hydrocotyle comocarpa,not present,not present,not present,not present,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle crassiuscula Tate,Hydrocotyle crassiuscula,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle decorata A.J.Perkins,Hydrocotyle decorata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle digitata A.R.Bean & Henwood,Hydrocotyle digitata,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle dipleura A.R.Bean,Hydrocotyle dipleura,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle eichleri A.J.Perkins,Hydrocotyle eichleri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle muriculata Turcz.,Hydrocotyle muriculata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle oraria A.R.Bean,Hydrocotyle oraria,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle perforata A.J.Perkins,Hydrocotyle perforata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle plebeya R.Br. ex A.Rich.,Hydrocotyle plebeya,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle serendipita A.J.Perkins,Hydrocotyle serendipita,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Hydrocotyle tuberculata A.J.Perkins,Hydrocotyle tuberculata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Polyscias scutellaria (Burm.f.) Fosberg,Polyscias scutellaria,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene clivicola Boyland & A.E.Holland,Trachymene clivicola,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene croniniana (F.Muell.) T.Durand & B.D.Jacks.,Trachymene croniniana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene cussonii (Montrouz.) B.L.Burtt,Trachymene cussonii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene dendrothrix Maconochie,Trachymene dendrothrix,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene dusenii (Domin) F.M.Bailey,Trachymene dusenii,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene elachocarpa (F.Muell.) B.L.Burtt,Trachymene elachocarpa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene glandulosa (F.Muell.) Benth.,Trachymene glandulosa,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene inflata Maconochie,Trachymene inflata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene longipedunculata Maconochie,Trachymene longipedunculata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene montana A.E.Holland,Trachymene montana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene pyrophila Rye,Trachymene pyrophila,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene scapigera (Domin) B.L.Burtt,Trachymene scapigera,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene umbratica J.M.Hart,Trachymene umbratica,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
Trachymene villosa (F.Muell.) Benth.,Trachymene villosa,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Araliaceae
"Auranticarpa resinosa (Domin) L.Cayzer, Crisp & I.Telford",Auranticarpa resinosa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pittosporaceae
Billardiera viridiflora L.Cayzer & D.L.Jones,Billardiera viridiflora,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pittosporaceae
Cheiranthera volubilis Benth.,Cheiranthera volubilis,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pittosporaceae
Marianthus aquilonaris N.Gibson & Wege,Marianthus aquilonaris,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pittosporaceae
Marianthus dryandra L.Cayzer & Crisp,Marianthus dryandra,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pittosporaceae
Marianthus microphyllus (Turcz.) Benth.,Marianthus microphyllus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pittosporaceae
Argophyllum iridescens A.R.Bean & P.I.Forst.,Argophyllum iridescens,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Argophyllaceae
Argophyllum palumense A.R.Bean & P.I.Forst.,Argophyllum palumense,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Argophyllaceae
Corokia carpodetoides (F.Muell.) L.S.Sm.,Corokia carpodetoides,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Argophyllaceae
Achnophora tatei F.Muell.,Achnophora tatei,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Acomis bella A.E.Holland,Acomis bella,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Acunniana procumbens (DC.) Orchard,Acunniana procumbens,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Anemocarpa calcicola Paul G.Wilson,Anemocarpa calcicola,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus conocephalus (J.M.Black) P.S.Short,Angianthus conocephalus,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus cornutus P.S.Short,Angianthus cornutus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus drummondii (Turcz.) Benth.,Angianthus drummondii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus glabratus P.S.Short,Angianthus glabratus,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus halophilus Keighery,Angianthus halophilus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus microcephalus (F.Muell.) Benth.,Angianthus microcephalus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus newbeyi P.S.Short,Angianthus newbeyi,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus phyllocalymmeus (F.Muell.) Druce,Angianthus phyllocalymmeus,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus platycephalus Benth.,Angianthus platycephalus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus prostratus P.S.Short,Angianthus prostratus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus pygmaeus (A.Gray) Benth.,Angianthus pygmaeus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Angianthus uniflorus P.S.Short,Angianthus uniflorus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Apowollastonia hamersleyensis Orchard,Apowollastonia hamersleyensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Apowollastonia hibernica Orchard,Apowollastonia hibernica,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Apowollastonia verbesinoides (F.Muell. ex Benth.) Orchard,Apowollastonia verbesinoides,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Asteridea archeri P.S.Short,Asteridea archeri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Asteridea croniniana (F.Muell.) Kroner,Asteridea croniniana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Asteridea morawana P.S.Short,Asteridea morawana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Athroisma laciniatum DC.,Athroisma laciniatum,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Balladonia aervoides (F.Muell.) P.S.Short,Balladonia aervoides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Basedowia tenerrima (F.Muell. & Tate) J.M.Black,Basedowia tenerrima,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blainvillea acmella (L.) Philipson,Blainvillea acmella,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blainvillea calcicola Orchard,Blainvillea calcicola,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blainvillea cunninghamii (DC.) Orchard,Blainvillea cunninghamii,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blennospora doliiformis Keighery,Blennospora doliiformis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blumea balsamifera (L.) DC.,Blumea balsamifera,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blumea benthamiana Domin,Blumea benthamiana,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blumea lanceolaria (Wall. ex Roxb.) Druce,Blumea lanceolaria,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blumea milnei Seem.,Blumea milnei,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blumea psammophila Dunlop,Blumea psammophila,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blumea pungens W.Fitzg.,Blumea pungens,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blumea riparia DC.,Blumea riparia,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Blumea sinuata (Lour.) Merr.,Blumea sinuata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome abercrombiensis P.S.Short,Brachyscome abercrombiensis,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome billabongensis P.S.Short,Brachyscome billabongensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome breviscapis C.R.Carter,Brachyscome breviscapis,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome brownii P.S.Short,Brachyscome brownii,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome campylocarpa J.M.Black,Brachyscome campylocarpa,not present,native,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome casstiana P.S.Short,Brachyscome casstiana,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome eyrensis J.H.Willis ex G.L.Davis,Brachyscome eyrensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome georginensis P.S.Short,Brachyscome georginensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome glandulosa (Steetz) Benth.,Brachyscome glandulosa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome muelleri Sond.,Brachyscome muelleri,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome radicata Hook.f.,Brachyscome radicata,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome rudallensis P.S.Short,Brachyscome rudallensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome simulans P.S.Short,Brachyscome simulans,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome tamworthensis P.S.Short,Brachyscome tamworthensis,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome watanabei P.S.Short,Brachyscome watanabei,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Brachyscome xanthocarpa D.A.Cooke,Brachyscome xanthocarpa,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calocephalus badmanii P.S.Short,Calocephalus badmanii,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calocephalus birchii P.S.Short,Calocephalus birchii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calocephalus glabratus P.S.Short,Calocephalus glabratus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calocephalus pilbarensis P.S.Short,Calocephalus pilbarensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calotis breviradiata (Ising) G.L.Davis,Calotis breviradiata,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calotis glabrescens C.T.White,Calotis glabrescens,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calotis inermis Maiden & Betche,Calotis inermis,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calotis moorei P.S.Short,Calotis moorei,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calotis suffruticosa Domin,Calotis suffruticosa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Calotis xanthosioidea Domin,Calotis xanthosioidea,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia accipitrum Orchard,Cassinia accipitrum,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia cinerea Orchard,Cassinia cinerea,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia collina C.T.White,Cassinia collina,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia furtiva Orchard,Cassinia furtiva,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia heleniae Orchard,Cassinia heleniae,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia nivalis Orchard,Cassinia nivalis,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia petrapendula (Orchard) Orchard,Cassinia petrapendula,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia storyi (Orchard) Orchard,Cassinia storyi,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia tegulata Orchard,Cassinia tegulata,not present,not present,not present,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia tenuis (Orchard) Orchard,Cassinia tenuis,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia theodorii F.Muell.,Cassinia theodorii,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia theresae Orchard,Cassinia theresae,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cassinia wyberbensis Orchard,Cassinia wyberbensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cephalosorus carpesioides (Turcz.) P.S.Short,Cephalosorus carpesioides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Chondropyxis halophila D.A.Cooke,Chondropyxis halophila,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Chthonocephalus multiceps J.H.Willis,Chthonocephalus multiceps,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Chthonocephalus oldfieldianus P.S.Short,Chthonocephalus oldfieldianus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Chthonocephalus spathulatus P.S.Short,Chthonocephalus spathulatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Chthonocephalus tomentellus (F.Muell.) Benth.,Chthonocephalus tomentellus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Coronidium cymosum Paul G.Wilson,Coronidium cymosum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Coronidium densifolium J.M.Black ex N.G.Walsh,Coronidium densifolium,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cratystylis subspinescens S.Moore,Cratystylis subspinescens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cyanthillium gracile (Lander & P.J.H.Hurter) K.R.Thiele & E.E.Schill.,Cyanthillium gracile,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cyanthillium patulum (Aiton) H.Rob.,Cyanthillium patulum,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Cymbonotus maidenii (Beauverd) A.E.Holland & V.A.Funk,Cymbonotus maidenii,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
Decaneuropsis obovata (Gaudich.) H.Rob. & Skvarla,Decaneuropsis obovata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asteraceae
