APC_name,photo
Goodia stenocarpa,no
Grona brownii,no
Grona flagellaris,no
Grona glareosa,no
Grona hannii,no
Grona muelleri,yes
Grona pycnotricha,no
Hardenbergia perbrevidens,no
Hovea angustissima,yes
Hovea arnhemica,yes
Hovea cymbiformis,yes
Indigastrum parviflorum,yes
Indigofera adenotricha,no
Indigofera bancroftii,no
Indigofera chamaeclada,no
Indigofera cinericolor,no
Indigofera cornuligera,no
Indigofera cuspidata,no
Indigofera decipiens,no
Indigofera efoliata,no
Indigofera eriophylla,no
Indigofera erubescens,no
Indigofera ewartiana,no
Indigofera fractiflexa,no
Indigofera glandulosa,no
Indigofera haematica,no
Indigofera ixocarpa,no
Indigofera kingiana,no
Indigofera melanosticta,no
Indigofera occidentalis,no
Indigofera oraria,no
Indigofera oxyrachis,no
Indigofera petraea,no
Indigofera pilifera,no
Indigofera polyclada,no
Indigofera queenslandica,no
Indigofera roseola,no
Indigofera rupicola,no
Indigofera scabrella,no
Indigofera schultziana,no
Indigofera triflora,no
Indigofera tryonii,no
Indigofera verruculosa,no
Indigofera wannanii,no
Indigofera warburtonensis,no
Isotropis browniae,no
Isotropis canescens,no
Isotropis faucicola,no
Isotropis filicaulis,yes
Isotropis winneckei,yes
Jacksonia arida,no
Jacksonia arnhemica,no
Jacksonia divisa,no
Jacksonia effusa,no
Jacksonia eremodendron,no
Jacksonia flexuosa,no
Jacksonia foliosa,no
Jacksonia humilis,no
Jacksonia intricata,no
Jacksonia jackson,no
Jacksonia lanicarpa,no
Jacksonia lateritica,no
Jacksonia macrocalyx,no
Jacksonia nematoclada,no
Jacksonia pendens,no
Jacksonia reclinata,no
Jacksonia remota,no
Jacksonia rupestris,no
Jacksonia stellaris,yes
Jacksonia vernicosa,no
Labichea brassii,yes
Labichea digitata,no
Labichea mulliganensis,no
Labichea rossii,no
Latrobea colophona,no
Latrobea genistoides,yes
Latrobea pinnaculum,no
Latrobea recurva,no
Leptosema aculeatum,no
Leptosema bossiaeoides,no
Leptosema cervicornu,yes
Leptosema uniflorum,no
Leptosema villosum,yes
Mirbelia balsiformis,no
Mirbelia corallina,no
Mirbelia ferricola,no
Mirbelia stipitata,no
Mucuna reptans,no
Muelleranthus obovatus,no
Muelleranthus parvalatus,no
Paragoodia crenulata,no
Phyllodium hackeri,yes
Phyllodium pulchellum,yes
Phyllota humilis,no
Plagiocarpus arcuatus,no
Plagiocarpus arnhemicus,no
Plagiocarpus axillaris,no
Plagiocarpus conduplicatus,no
Plagiocarpus dispermus,no
Plagiocarpus lanatus,no
Plagiocarpus longiflorus,no
Polhillides velutina,no
Pultenaea arida,yes
Pultenaea bracteamajor,no
Pultenaea bracteaminor,no
Pultenaea craigiana,no
Pultenaea elusa,no
Pultenaea insularis,no
Pultenaea kraehenbuehlii,no
Pultenaea lapidosa,no
Pultenaea rariflora,no
Pultenaea rodwayi,no
Pultenaea rotundifolia,yes
Pultenaea strobilifera,no
Pultenaea trichophylla,yes
Pultenaea viscosa,no
Rhynchosia australis,no
Rhynchosia filiformis,no
Rhynchosia rostrata,no
Rothia indica,no
Senna flexuosa,no
Senna glaucifolia,no
Senna heptanthera,no
Senna leptoclada,no
Senna manicula,no
Senna procumbens,no
Senna stowardii,no
Senna timoriensis,no
Sesbania burbidgeae,no
Sesbania chippendalei,yes
Sesbania muelleri,no
Smithia conferta,yes
Smithia sensitiva,no
Sophora longipes,no
Sphaerolobium benetectum,no
Sphaerolobium pubescens,no
Swainsona acuticarinata,no
Swainsona adenophylla,no
Swainsona bracteata,no
Swainsona cadellii,no
Swainsona calcicola,no
Swainsona cornuta,no
Swainsona cyclocarpa,yes
Swainsona dictyocarpa,no
Swainsona disjuncta,no
Swainsona ecallosa,no
Swainsona eremaea,no
Swainsona forrestii,no
Swainsona fraseri,no
Swainsona fuscoviridis,no
Swainsona gracilis,no
Swainsona halophila,no
Swainsona laciniata,no
Swainsona longicarinata,no
Swainsona longipilosa,no
Swainsona microcalyx,no
Swainsona minutiflora,no
Swainsona paradoxa,no
Swainsona parviflora,yes
Swainsona paucifoliolata,no
Swainsona pedunculata,no
Swainsona perlonga,no
Swainsona reticulata,no
Swainsona rostellata,no
Swainsona rostrata,yes
Swainsona rotunda,no
Swainsona tenuis,yes
Swainsona tephrotricha,no
Swainsona thompsoniana,no
Swainsona unifoliolata,yes
Swainsona vestita,no
Tadehagi robustum,no
Templetonia ceracea,no
Templetonia incrassata,no
Tephrosia arnhemica,no
Tephrosia benthamii,yes
Tephrosia bifacialis,yes
Tephrosia brachycarpa,no
Tephrosia carriemichelliae,no
Tephrosia clementii,no
Tephrosia conspicua,no
Tephrosia coriacea,no
Tephrosia crocea,no
Tephrosia delestangii,yes
Tephrosia delicatula,no
Tephrosia ephippioides,no
Tephrosia eriocarpa,yes
Tephrosia flagellaris,yes
Tephrosia flammea,no
Tephrosia forrestiana,no
Tephrosia gaudium-solis,yes
Tephrosia gyropoda,no
Tephrosia humifusa,no
Tephrosia lamprolobioides,no
Tephrosia laxa,yes
Tephrosia leveillei,no
Tephrosia macrocarpa,no
Tephrosia maculata,yes
Tephrosia nematophylla,no
Tephrosia oblongata,no
Tephrosia oligophylla,no
Tephrosia oxalidea,no
Tephrosia pedleyi,no
Tephrosia polyzyga,no
Tephrosia porrecta,yes
Tephrosia procera,no
Tephrosia pumila,no
Tephrosia reticulata,no
Tephrosia simplicifolia,no
Tephrosia stipuligera,no
Tephrosia stuartii,yes
Tephrosia subpectinata,no
Tephrosia timoriensis,no
Tephrosia valleculata,no
Urodon capitatus,yes
Vachellia clarksoniana,no
Vachellia ditricha,no
Vachellia douglasica,no
Vachellia pallidifolia,no
Vachellia valida,no
Vigna adenantha,no
Vigna radiata,yes
Vigna triodiophila,no
Zornia acuta,no
Zornia areolata,no
Zornia disticha,no
Zornia macdonaldii,no
Zornia oligantha,no
Zornia pallida,no
Zornia ramosa,yes
Zornia stirlingii,no
